Tanggal,Komitmen___Kontinjensi,Fasilitas_kredit_kepada_bank_lain_yang_belum_ditarik,Committed__,Uncommitted,Fasilitas_kredit_kepada_nasabah_yang_belum_ditarik,BUMN,BUMN_7,Lainnya,Fasilitas_pinjaman_yang_belum_ditarik__,Rupiah,Valuta_Asing,Garansi_yang_diberikan,Rupiah_13,Valuta_Asing_14,Garansi_yang_diterima___,Rupiah_16,Valuta_Asing_17,Irrevocable_L_C_yang_masih_berjalan,L_C_dalam_negeri___,L_C_luar_negeri,Kewajiban_Komitmen,Kewajiban_Kontinjensi,Lainnya_23,Lainnya__,Lainnya___,Pendapatan_bunga_dalam_penyelesaian,Bunga_lainnya___,Posisi_pembelian_spot_dan_derivatif_yang_masih_berjalan___,Posisi_penjualan_spot_dan_derivatif_yang_masih_berjalan___,Tagihan_Komitmen,Tagihan_Kontinjensi
2013-03-01,8726441,27121,0,27121,3709720,0,0,3709720,0,0,0,0,0,0,0,0,0,0,0,0,3736841,1140517,0,1414,0,54707,0,0,0,0,56121
2013-05-01,8821851,32210,0,32210,3679019,0,0,3679019,0,0,0,0,0,0,0,0,0,0,0,0,3711229,1274749,0,1414,0,60908,0,0,0,0,62322
2013-06-01,9241250,85960,0,85960,3788973,0,0,3788973,0,0,0,0,0,0,0,0,0,0,0,0,3874933,1368910,0,1414,0,59823,0,0,0,0,61237
2013-07-01,8866879,85450,0,85450,3562330,0,0,3562330,0,0,0,0,0,0,0,0,0,0,0,0,3647780,1448071,0,1414,0,60210,0,0,0,0,61624
2013-09-01,9181236,67800,0,67800,3628223,0,0,3628223,0,0,0,0,0,0,0,0,0,0,0,0,3696023,1661616,0,1414,0,62373,0,0,0,0,63787
2013-10-01,9111744,74450,0,74450,3526806,0,0,3526806,0,0,0,0,0,0,0,0,0,0,0,0,3601256,1774172,0,1414,0,66116,0,0,0,0,67530
2013-11-01,8911908,83225,0,83225,3434575,0,0,3434575,0,0,0,0,0,0,0,0,0,0,0,0,3517800,1755372,0,1414,0,59054,0,0,0,0,60468
2013-12-01,10377307,61703,0,61703,3715621,0,0,3715621,0,0,0,0,0,0,0,0,0,0,0,0,3777324,2701313,0,1414,0,59259,0,0,0,0,60673
2014-03-01,11248426,50243,0,50243,4579559,0,0,4579559,0,0,0,0,0,0,0,0,0,0,0,0,4629802,1830296,0,1414,0,77849,0,0,0,0,79263
2014-04-01,11346262,33993,0,33993,4584473,0,0,4584473,0,0,0,0,0,0,0,0,0,0,0,0,4618466,1941896,0,1414,0,82303,0,0,0,0,83717
2014-06-01,10414333,29785,0,29785,3830714,0,0,3830714,0,0,0,0,0,0,0,0,0,0,0,0,3860499,2532671,0,1414,0,78918,0,0,0,0,80332
2014-07-01,9952150,31285,0,31285,3715408,0,0,3715408,0,0,0,0,0,0,0,0,0,0,0,0,3746693,2294064,0,1414,0,80936,0,0,0,0,82350
2014-09-01,9936674,27585,0,27585,3577958,0,0,3577958,0,0,0,0,0,0,0,0,0,0,0,0,3605543,2558114,0,1414,0,82323,0,0,0,0,83737
2014-10-01,10550849,25285,0,25285,3612473,0,0,3612473,0,0,0,0,0,0,0,0,0,0,0,0,3637758,2670203,100000,1414,0,201151,0,0,0,100000,202565
2014-11-01,9695640,26535,0,26535,3154363,0,0,3154363,0,0,0,0,0,0,0,0,0,0,0,0,3180898,2727662,100000,1414,0,201677,0,0,0,100000,203091
2014-12-01,11220945,24035,0,24035,3749744,0,0,3749744,0,0,0,0,0,0,0,0,0,0,0,0,3773779,2855751,100000,1414,0,307404,0,0,0,100000,308818
2015-01-01,11306993,0,0,0,4052145,0,0,4052145,0,0,0,0,0,0,0,0,0,0,0,0,4052145,2437683,153302,1414,0,227794,0,0,0,153302,229208
2015-02-01,10553709,0,0,0,4020603,0,0,4020603,0,0,0,0,0,0,0,0,0,0,0,0,3969038,2215409,-21453,0,0,221565,0,0,-51565,-21453,221565
2014-08-01,12321674,28285,0,28285,3621886,0,0,3621886,0,0,0,2411118,2365573,45545,0,0,0,0,0,0,3650171,2411118,0,1414,0,98134,0,0,0,0,99548
2013-08-01,10544048,88450,0,88450,3631661,0,0,3631661,0,0,0,1488817,1472079,16738,0,0,0,0,0,0,3720111,1488817,0,1414,0,61682,0,0,0,0,63096
2013-04-01,10179962,48121,15000,33121,3808760,0,0,3808760,0,0,0,1179372,1175299,4073,0,0,0,0,0,0,3841881,1179372,0,1414,0,59814,0,0,0,0,61228
2014-05-01,13157383,34735,0,34735,3816978,0,0,3816978,0,0,0,1611076,1611017,59,1611076,1611017,59,0,0,0,3851713,2074823,0,1414,0,77077,0,0,0,0,78491
