Country,LPI_rank
East Timor ,0
Burundi ,0
Gaza Strip ,0
Tanzania ,0
Ethiopia ,0
Kiribati ,0
Niger ,0
West Bank ,0
Tuvalu ,0
Mozambique ,0
Sao Tome & Principe ,0
"Korea, North ",0
Cape Verde ,0
Cote d'Ivoire ,0
Marshall Islands ,0
Laos ,0
Burma ,0
"Micronesia, Fed. St. ",0
Tonga ,0
Nicaragua ,0
Saint Helena ,0
Mayotte ,0
Saint Vincent and the Grenadines ,0
Vanuatu ,0
Azerbaijan ,0
Montserrat ,0
Wallis and Futuna ,0
Suriname ,0
Belize ,0
Swaziland ,0
Cook Islands ,0
Grenada ,0
Nauru ,0
Dominica ,0
Saint Lucia ,0
Samoa ,0
Reunion ,0
Macedonia ,0
St Pierre & Miquelon ,0
Namibia ,0
Seychelles ,0
American Samoa ,0
Guadeloupe ,0
French Guiana ,0
Anguilla ,0
Saint Kitts & Nevis ,0
Botswana ,0
Palau ,0
Turks & Caicos Is ,0
Latvia ,0
Antigua & Barbuda ,0
N. Mariana Islands ,0
Slovakia ,0
Martinique ,0
New Caledonia ,0
Barbados ,0
British Virgin Is. ,0
Puerto Rico ,0
Bahrain ,0
Virgin Islands ,0
French Polynesia ,0
Gibraltar ,0
Andorra ,0
Macau ,0
Greenland ,0
Guernsey ,0
Guam ,0
Isle of Man ,0
Faroe Islands ,0
Jersey ,0
Liechtenstein ,0
Monaco ,0
Aruba ,0
San Marino ,0
Cayman Islands ,0
Bermuda ,0
Luxembourg ,0
Western Sahara ,0
Sweden ,2
Belgium ,3
Austria ,4
Japan ,5
Netherlands Antilles ,6
Netherlands ,6
Singapore ,7
Denmark ,8
United Kingdom ,9
Finland ,10
United Arab Emirates ,11
Hong Kong ,12
Switzerland ,13
United States ,14
New Zealand ,15
France ,16
Spain ,17
Australia ,18
Italy ,19
Canada ,20
Norway ,21
Czech Republic ,22
"Korea, South ",25
Portugal ,25
China ,26
Taiwan ,27
Poland ,28
Ireland ,29
Qatar ,30
Hungary ,31
Thailand ,32
Chile ,34
Estonia ,36
Panama ,38
Iceland ,40
Greece ,42
India ,44
Indonesia ,46
Romania ,48
Bulgaria ,52
Lithuania ,54
Brazil ,56
Bosnia & Herzegovina ,58
Colombia ,58
Philippines ,60
Ecuador ,62
Iran ,64
Kenya ,68
Benin ,76
Brunei ,80
Jordan ,84
Albania ,88
Armenia ,92
Mali ,96
Bangladesh ,100
Solomon Islands ,104
Kyrgyzstan ,108
"Bahamas, The ",112
Moldova ,116
"Congo, Dem. Rep. ",120
Trinidad & Tobago ,124
Madagascar ,128
Equatorial Guinea ,136
Somalia ,144
Zimbabwe ,152
Afghanistan ,160
Germany ,1
Guinea-Bissau ,129
Guinea ,145
Haiti ,153
Serbia ,65
Malta ,69
Costa Rica ,73
Uruguay ,85
Guatemala ,89
Honduras ,93
Malawi ,97
El Salvador ,101
Tunisia ,105
Morocco ,109
Jamaica ,113
Algeria ,117
Sudan ,121
Mongolia ,130
Syria ,138
Cuba ,146
Libya ,154
Bolivia ,131
Lesotho ,139
Eritrea ,155
South Africa ,33
Slovenia ,35
Israel ,37
Vietnam ,39
Malaysia ,41
Oman ,43
Cyprus ,45
Turkey ,47
Croatia ,49
Mexico ,51
Saudi Arabia ,55
Rwanda ,57
Argentina ,61
Kuwait ,63
Ukraine ,66
Paraguay ,74
Mauritius ,78
Maldives ,86
Djibouti ,90
Sri Lanka ,94
Cambodia ,98
Uganda ,102
Iraq ,102
Ghana ,106
Nigeria ,110
Nepal ,114
Togo ,118
Pakistan ,122
Turkmenistan ,126
Guyana ,132
Yemen ,140
Papua New Guinea ,148
Sierra Leone ,156
Fiji ,133
Senegal ,141
Bhutan ,149
Egypt ,67
Kazakhstan ,71
Russia ,75
Lebanon ,79
Peru ,83
Dominican Republic ,87
Burkina Faso ,91
Cameroon ,95
Uzbekistan ,99
Belarus ,103
Comoros ,107
Zambia ,111
"Congo, Repub. of the ",115
Georgia ,119
Chad ,123
"Gambia, The ",127
Tajikistan ,134
Venezuela ,142
Gabon ,150
Mauritania ,135
Liberia ,143
Central African Rep. ,151
Angola ,159
